"HolderAddress","Balance","PendingBalanceUpdate"
"0x4ac5ed4b31f4f0e16bd96bf2d9f96200d7c266af","4897.29568773286","No"
"0xe9c2e301a9505d66be674a7d2b5c6dba40b49f2b","5692.41892902244","No"
"0x75f0e91e9cbbdac4ca253c0939f6d149fe4397ff","2279.70493320625","No"
"0xc5c5c8eddfdd89d10f1f9ec2a6b8cdce52cda1c7","1000","No"
"0x187647a3b92691baf8e3afb9385146a2e272de94","5210.82729154435","No"
"0xc782d12bc754a1994e5838cef0cd5f6dec780cb5","213.376689222564","No"
"0x8a67ed545879b808dc1441180dc6230f842f99c4","500","No"
"0xc6f03df53a6882e67f375d1ea0173f68a39eeba6","351.661955063893","No"
"0x7993dcfb6398022d9c124c6f0fb3712de3afcbea","23283","No"
"0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28","2617.41745800506","No"
"0xb08be767cdc33913f8e2fa44193f4e2eb5725876","2815.8217158541","No"
"0xcda459ba2e5bbba181c7e0aa559eeef7cbe1a04b","16017.3211051748","No"
"0x2cbf837858fff7ab6112a1cb76384a088a75df0e","1.4157241541E-08","No"
"0x854865641338fc2e4273d149a08664b5e3237429","1000","No"
"0x98c6938f15cb8e12aff2a8ca9b0a9f2fc6e20901","1.001E-15","No"
"0x7ee48e615dcc2de11fe7967298063141277c4fb4","4169.74925381763","No"
"0x768e3e864319d289429a78bbf6a60294b8cd8630","2283.94042553113","No"
"0xad0c8d2e5ce5581d01e9fa34e54717544c38b2df","57.4609162600369","No"
"0xd9179964fcece4043c93a0c9f9be0669c073d536","148.183825233996","No"
"0xdfcccf2dcb5376abad88a38350cbb91bcff83c27","2037.38774636919","No"
"0x603235e348d67f44d0c01b3573a37271d9d641c1","121444","No"
"0xec649f9a0a4e5f4b2ee5c3ea419db60d74b33847","2547.03414925768","No"
"0xc8382978003d719f85ee9d563c81f18706bb4450","366.918089169066","No"
"0x9388d236346266e68daaeae735c1941f37ebeab1","21.7365462806195","No"
"0xeb3275a120e3fa04d0aca6df127f8091ee6ccbff","1503.62603639553","No"
"0x95c7887f349b897152faa4a79207b58b0c8dcaca","60.4762312765039","No"
"0x5d5bfed49e986b9fb0f03bbdc788c9c46362149b","1062.57290436359","No"
"0xdec4b45004ca7827d5eaa0ab08665e973246c8bf","450.696877584876","No"
"0x5f5562ebb5dac6507df01350f14e5f57dec9e18a","719.812624729947","No"
"0xe0365fff89830850c3d6fa933587b33446ca0547","537.738366472089","No"
"0x374601059c4dc94b715f134a0e0494998b1bd052","234.485952962505","No"
"0x73ded57cac2b34a07d2c598a302164637c07fa45","1.33374531E-09","No"
